motif,good_count,good_support,bad_count,bad_support,manual_count,manual_support,good_minus_bad,bad_minus_good,shared_strength,manual_alignment,group
proxy:interlocked_ports,44,0.08118081180811808,181,0.04571861581207375,7,0.0546875,0.035462195996044325,-0.035462195996044325,0.04571861581207375,0.0546875,good_enriched
role:maxD2_B0_portb0,28,0.05166051660516605,75,0.018944177822682495,4,0.03125,0.03271633878248356,-0.03271633878248356,0.018944177822682495,0.03125,good_enriched
orient:axisb3_diagb0_curveb0,29,0.05350553505535055,84,0.021217479161404394,10,0.078125,0.032288055893946156,-0.032288055893946156,0.021217479161404394,0.078125,good_enriched
field:spineb1_enclb2_interb1,27,0.04981549815498155,71,0.01793382167213943,1,0.0078125,0.03188167648284212,-0.03188167648284212,0.01793382167213943,0.0078125,good_enriched
capacity:Sb1_CC1_C0,68,0.12546125461254612,380,0.09598383430159131,13,0.1015625,0.029477420310954808,-0.029477420310954808,0.09598383430159131,0.1015625,good_enriched
relhist:E2_T0_X1_C0,23,0.042435424354243544,60,0.015155342258145996,0,0.0,0.027280082096097547,-0.027280082096097547,0.015155342258145996,0.0,good_enriched
role:maxD3_B1_portb2,22,0.04059040590405904,55,0.013892397069967163,2,0.015625,0.026698008834091874,-0.026698008834091874,0.013892397069967163,0.015625,good_enriched
role:maxD3_B3_portb4,30,0.055350553505535055,120,0.030310684516291993,1,0.0078125,0.025039868989243062,-0.025039868989243062,0.030310684516291993,0.0078125,good_enriched
proxy:ring_core_spine_ports,28,0.05166051660516605,119,0.030058095478656226,6,0.046875,0.021602421126509827,-0.021602421126509827,0.030058095478656226,0.046875,good_enriched
field:spineb0_enclb0_interb2,16,0.02952029520295203,33,0.008335438241980297,2,0.015625,0.02118485696097173,-0.02118485696097173,0.008335438241980297,0.015625,good_enriched
role:maxD3_B1_portb1,14,0.025830258302583026,25,0.006314725940894165,1,0.0078125,0.01951553236168886,-0.01951553236168886,0.006314725940894165,0.0078125,good_enriched
relhist:E4_T1_X1_C0,10,0.01845018450184502,7,0.0017681232634503663,0,0.0,0.016682061238394653,-0.016682061238394653,0.0017681232634503663,0.0,good_enriched
field:spineb1_enclb0_interb2,13,0.023985239852398525,30,0.007577671129072998,1,0.0078125,0.01640756872332553,-0.01640756872332553,0.007577671129072998,0.0078125,good_enriched
capacity:Sb1_CC1_C3,12,0.02214022140221402,26,0.006567314978529932,0,0.0,0.015572906423684089,-0.015572906423684089,0.006567314978529932,0.0,good_enriched
proxy:multi_component_or_floating,145,0.26752767527675275,2007,0.5069461985349836,4,0.03125,-0.23941852325823082,0.23941852325823082,0.26752767527675275,0.03125,bad_enriched
field:spineb0_enclb0_interb0,53,0.09778597785977859,1014,0.25612528416266733,19,0.1484375,-0.15833930630288873,0.15833930630288873,0.09778597785977859,0.1484375,bad_enriched
relhist:E4_T0_X0_C0,48,0.08856088560885608,791,0.1997979287698914,16,0.125,-0.1112370431610353,0.1112370431610353,0.08856088560885608,0.125,bad_enriched
role:maxD2_B0_portb2,39,0.07195571955719557,668,0.16872947714069209,24,0.1875,-0.09677375758349652,0.09677375758349652,0.07195571955719557,0.1875,bad_enriched
orient:axisb0_diagb3_curveb0,44,0.08118081180811808,631,0.15938368274816872,4,0.03125,-0.07820287094005064,0.07820287094005064,0.08118081180811808,0.03125,bad_enriched
field:spineb1_enclb0_interb0,39,0.07195571955719557,534,0.13488254609749936,23,0.1796875,-0.06292682654030379,0.06292682654030379,0.07195571955719557,0.1796875,bad_enriched
role:maxD2_B0_portb3,9,0.016605166051660517,295,0.07451376610255114,2,0.015625,-0.05790860005089063,0.05790860005089063,0.016605166051660517,0.015625,bad_enriched
role:maxD1_B0_portb0,5,0.00922509225092251,256,0.06466279363475626,23,0.1796875,-0.05543770138383375,0.05543770138383375,0.00922509225092251,0.1796875,bad_enriched
capacity:Sb0_CC3_C0,0,0.0,212,0.05354887597878252,0,0.0,-0.05354887597878252,0.05354887597878252,0.0,0.0,bad_enriched
relhist:E2_T0_X0_C0,7,0.012915129151291513,250,0.06314725940894166,22,0.171875,-0.050232130257650144,0.050232130257650144,0.012915129151291513,0.171875,bad_enriched
relhist:E4_T0_X0_C1,84,0.15498154981549817,798,0.20156605203334174,6,0.046875,-0.046584502217843576,0.046584502217843576,0.15498154981549817,0.046875,bad_enriched
relhist:E1_T0_X0_C0,2,0.0036900369003690036,198,0.050012629451881785,19,0.1484375,-0.04632259255151278,0.04632259255151278,0.0036900369003690036,0.1484375,bad_enriched
capacity:Sb0_CC2_C0,13,0.023985239852398525,271,0.06845162919929275,4,0.03125,-0.044466389346894224,0.044466389346894224,0.023985239852398525,0.03125,bad_enriched
orient:axisb0_diagb2_curveb0,3,0.005535055350553505,155,0.039151300833543824,0,0.0,-0.03361624548299032,0.03361624548299032,0.005535055350553505,0.0,bad_enriched
relhist:E3_T0_X0_C0,16,0.02952029520295203,245,0.06188431422076282,8,0.0625,-0.03236401901781079,0.03236401901781079,0.02952029520295203,0.0625,bad_enriched
field:spineb0_enclb2_interb0,22,0.04059040590405904,283,0.07148269765092195,0,0.0,-0.030892291746862914,0.030892291746862914,0.04059040590405904,0.0,bad_enriched
